source	default_branch	tree_status	file_count	tree_sha256
mattolson/agent-sandbox	main	ok	362	1ee7febd14fc57898dacfabe92cf5e28cbf79ea1a55f3e5aa9d49d8b9ba22d8c
bitrouter/bitrouter	main	ok	506	a3d436f2cd7e8fdf0eac61810b7841250446716a5c3afe0d78edb811e8aeb750
inngest/utah	main	ok	81	fcab224002556f0835bc6204c513d21abaf0338b3ec4323beda48c7adbd9219a
Zleap-AI/Zleap-Agent	main	ok	721	385fc0bfc65217b10efa79f9cbbc41402747bea9e700fbf2bdc0d1f69d3295ec
ruvnet/metaharness	main	ok	3761	5fb2c0a93691e9e08a0974ec101fd88b413f076514583f8cfdae24b8ea2286d8
UnicomAI/UniHarness	main	ok	307	927757a462da066cd52e742bc25eeb5783cb1669555d36ce78cae85eba33dc1b
deepfates/cantrip	main	ok	173	6a584c95763e211e02690933a3c08077ca7006b55719bfd1609d309537a964c4
romiluz13/cc10x	main	ok	154	f3f085a502f1c6d0929a32091cb1416d1ad0d7a9da09822675d92765b19572e2
Mintplex-Labs/anything-llm	master	ok	5567	ada3fdb18f12316430f08810c4dbf08d2b665e78f8897c34ee62ca726385d29a
SonicBotMan/SoloFlow	main	ok	73	e6ce59ffbe81f2c2d83ea16adce67a2e3ea2c4d01ee03401a072074920495aed
RUCAIBox/awesome-agent-harness	main	ok	5	285933e4c2fecd91019869b016cd5970693e2ed1aff8fffda1d21c976cbcff0c
shamspias/reins	main	ok	179	ef96b1a1a2ac203e8f9cc93dc6a6723c6f6a960aaa545558ce7ce81d800a1258
wulawulu/learn-claude-code-rs	main	ok	344	9e441c0e0c6461a99b928cbf6db30a6545eed83b0d36b9b9fabb55409ea9a440
mturac/everything-openai-codex	main	ok	2821	5709614c639220b30b16ad115bff4066fc7e84ddfd13bf75f9e3cee0feb727e7
7-e1even/learn-agent	main	ok	84	be77f9b3afe8b6f5cefc28a4db2d017cb8c947bdff2b8f2a24a4441b999de0f8
WanLanglin/-awesome-cc-harness	main	ok	80	e8cf8ed9e2283a5bcbe2e469b356d08b57b2fa358d2578191837dc58ab29dfd4
vitaliikapliuk/modelharness	main	ok	193	553595c84ccc77e677ad56ffe46671758b2324dc82a2ab6eef3b5f3b2a5e5342
holny/Agent-Harness-Develop-Book	main	ok	2	061f8fbae62764996490f28c6e40a979d6caf50d1cfe735a7566e0b192156724
RightNow-AI/AutoMegaKernel	main	ok	167	b4387ba3e2e25304a1a1e02c7cf7ae1a73a4719dd21cb98adc0bc1795c8efb25
TRocket-Labs/vectorlint	main	ok	250	63dc9faa87fd5522a8e398b4f4b5ab9bf4d754930937262210ef71a2d752bc5f
Coral-Bricks-AI/reef	main	ok	249	d1321435b60ef54dde10043ba6fc18b17e38925123c1b4dfa48a907ed2e667c8
SihyeonJeon/why-was-fable-banned	main	ok	64	a436a6996593baafdd548261983d61a412c77ec79a594a8ae9850eaf2e513500
appsoftwareltd/vscode-agent-kanban	main	ok	79	4ba925e89b7d7f2a0d15860e2bd4895bf559e34249f86d75bc014768c853fe67
smartcomputer-ai/lightspeed	main	ok	516	401e368cf74baf425f233d1a01f9163add2746100ca1d5369793cb1244e2e184
Mintplex-Labs/anythingllm-mobile	main	ok	399	9fc8a49693fe21b7b97460027f49c7382b8099f9e9a653dae11017b99e1482bc
strangeadvancedmarketing/Adam	master	ok	83	28f7ea8a10b1f03e802f23ab683ce682f1446a5aae18685201faf9675369a516
genai-io/san	main	ok	708	5ddf308ae274e1d84a0d6283735c5bf2a53a969f819a4befc0f994c6df7fc903
xiaonancs/claude-code-source-analysis	main	ok	38	9d67036ca49b745ff5f5f09aad82449e185b523cfa74de48605129712a3e90f4
agenticenv/agent-sdk-go	main	ok	405	565109f6e2fabe9a2b26fd14fdca0399f1f26b5f596e0c7f6892ea909027ae00
mvschwarz/openrig	main	ok	1715	8ed45dd06d2780e9c7b974b616386e334c16c87b57411d93a0568b237a0e8237
ganimjeong/Harness-for-claude	main	ok	28	e75e5ae31fb7847c1e50649613b9e2aa0037da52bc9a3d343317f2fa141831e0
InternScience/ResearchHarness	main	ok	96	6f66255b3c000f050ca158f03e92e657d4ab81b7c87da4c7ffbe288ba711f556
move-hoon/sober	main	ok	93	ebe0b6741398b64a6b909a49746a8fa4fcbd99d75e019d0886ec0c1bd0985a95
clawboo/clawboo	main	ok	1207	7f77bc40a6edf49df9441c930bdcf096fa2caccf8c152f76e111bcb72fedcc9b
xiaonancs/hermes-agent-study	main	ok	46	cb6cda0d283a2a12131b01f04315b216b58ca775e56264b00471704d1da94863
whut09/paper_agent	main	ok	122	b63099285241388e8ddb4d9b5bc5d9a5f10a3158f2c5eca4741d3916203df4d9
410979729/proofrail-hermes	main	ok	47	23bceff49c3cc067a71584cf09e9a8604494c8abc9f9e5895113114b96ad8c2c
edvinhallvaxhiu/langchain-task-steering	main	ok	47	e319ae94d10f941a03eac09f1f8f6c0d4b4ed9b9cb3d1b364815824d73982988
michael-chow-arch/goldfxgraph	main	ok	111	63005f791f5beee9ed1ee6b22370cea9f4c57060dd770899a8a1f47a0123ad02
