source	default_branch	stars	license	readme_status	word_count	line_count	families	evidence_terms
Mrbaeksang/solopilot	main	0	MIT	ok	964	203	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|Claude|worktree|session|message|autonomous|Verifier|learn|permission|plugin|spec|workflow|Install|check|project|timing|Harness Engineering
luckzy14-afk/agent-harness-orchestrator	main	0	NOASSERTION	ok	1332	303	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	Claude|Docker|monitor|thread|Long-Running|token|Context|security|tool|task|Workflow|Install|ci|project
RubenHaisma/rl-studio	main	0	Apache-2.0	ok	1919	205	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation	Claude|environment|status|lock|autonomous|cost|Learn|policy|api|task|workflow|install|ci|template|score
penglei0501/agent-harness-lab	main	0	NOASSERTION	ok	1772	412	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|runtime|environment|dashboard|coordination|loop|candidate|event|learn|Permission|search|Task|workflow|registry|ci|project|eval|Topic
qazasd2518995/helmsman	main	0	MIT	ok	1142	217	agent_catalog_watch,runtime_capability_matrix,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation	list|model|status|lock|loop|qa|token|context|safe|tool|task|workflow|Install|CI|Project|score
yubi00/portfolio-assistant-langgraph	main	0	NOASSERTION	ok	1983	366	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|model|environment|session|thread|autonomous|evaluate|history|context|policy|API|plan|guard|package|ci|project|eval|query
selfradiance/agent-interrupt-receipt	main	0	NOASSERTION	ok	765	158	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,security_credential_egress,tool_augmentation,change_package_delta_archive,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation	list|Model|sandbox|session|lock|receipt|evaluate|trace|safe|search|spec|install|check|rules|fixture
kolife01/evifarm	main	0	MIT	ok	930	124	runtime_capability_matrix,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	Claude|session|message|autonomous|event|memory|secret|Tool|task|guard|install|ci|project
duck-lint/Semantic-Geometry-CLI-Harness	two	0	MIT	ok	891	221	runtime_capability_matrix,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation	model|reviewer|token|context|lint|API|plan|state|Package|ci|project|fixture
Warzone-Team/autopilot-coordinator-flow	main	0	NOASSERTION	ok	2005	393	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation	curat|Integration|Docker|session|message|Autonomous|QA|token|skill|egress|API|spec|Workflow|Install|ci|project|score
VibeCodingNights/portable-harnesses	main	0	NOASSERTION	ok	1491	150	runtime_capability_matrix,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation	model|preview|lock|loop|benchmark|event|context|egress|API|task|state|install|ci|template|Score
Mattyreed1/fractal-agent-team-starter	main	0	MIT	ok	739	161	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	Claude|Docker|status|shared|loop|token|prompt|safe|MCP|task|workflow|install|ci|project
angelnicolasc/forge	main	0	Apache-2.0	ok	2194	425	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|claude|environment|Status|lock|loop|Verifier|cost|memory|safe|search|spec|workflow|install|CI|project|eval|query
greg-asher/oh-my-lawd	main	0	Apache-2.0	ok	1332	189	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|runtime|VM|monitor|lock|retry|evaluate|history|context|SECURITY|tool|spec|state|install|ci|project|eval|Harness engineering
Norinatiring463/loop-engineering	main	0	MIT	ok	1265	176	agent_catalog_watch,runtime_capability_matrix,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|Claude|session|heartbeat|Loop|benchmark|token|skill|guard|tool|task|Install|check|project|eval|topic
